ID,marital_status_Divorced,marital_status_Married,marital_status_OTROS,marital_status_Single,marital_status_Together,marital_status_Widow,acceptedcmp3,acceptedcmp4,acceptedcmp5,acceptedcmp1,acceptedcmp2,complain,response,education_oe_mms,income_mms,recency_mms,mntwines_mms,mntfruits_mms,mntmeatproducts_mms,kidhome_mms,teenhome_mms,mntfishproducts_mms,mntsweetproducts_mms,mntgoldprods_mms,numdealspurchases_mms,numwebpurchases_mms,numcatalogpurchases_mms,numstorepurchases_mms,numwebvisitsmonth_mms,age_mms,household_members_mms,total_amount_mms,total_purchase_mms,median_amount_purchase_mms,total_cmp_mms,total_%_cmp_mms
1640,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5,0.5546261104763722,0.494949494949495,0.04686373467916366,0.0,0.014537902388369679,0.5,0.5,0.0,0.03141361256544503,0.08264462809917356,0.15384615384615385,0.037037037037037035,0.09090909090909091,0.25,0.1818181818181818,0.8163265306122447,0.5,0.040492258832870186,0.20588235294117646,0.012474155754651965,0.0,0.0
977,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0.5,0.3868693698945319,0.10101010101010102,0.14347512617159336,0.10555555555555556,0.11318795430944964,0.0,0.5,0.20833333333333334,0.07853403141361257,0.07851239669421488,0.46153846153846156,0.18518518518518517,0.09090909090909091,0.5833333333333333,0.4545454545454545,0.7551020408163265,0.5,0.16196903533148074,0.5588235294117647,0.019421088904203996,0.0,0.0
10150,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,1,0.5,0.7668310521447892,0.10101010101010102,0.3338139870223504,0.15555555555555556,0.9044652128764278,0.0,0.0,0.12083333333333333,0.09424083769633508,0.15289256198347106,0.0,0.25925925925925924,0.36363636363636365,0.49999999999999994,0.09090909090909091,0.6734693877551019,0.0,0.5728463676061929,0.5,0.07711922811853894,0.25,0.25
8181,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0.25,0.30208260467430137,0.42424242424242425,0.03604902667627974,0.06666666666666667,0.04880581516095534,0.5,0.0,0.07083333333333333,0.12565445026178013,0.09917355371900827,0.23076923076923078,0.14814814814814814,0.09090909090909091,0.16666666666666669,0.6363636363636364,0.32653061224489793,0.25,0.06788408098451766,0.29411764705882354,0.014973999122861976,0.0,0.0
1399,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0.5,0.6354392550967317,0.5252525252525253,0.2927180966113915,0.6333333333333333,0.4600207684319834,0.0,0.0,0.7541666666666667,0.8638743455497383,0.8388429752066116,0.07692307692307693,0.1111111111111111,0.6363636363636364,0.6666666666666666,0.0,0.7346938775510203,0.25,0.5990472409686384,0.5588235294117647,0.07253618194348725,0.25,0.25
9291,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.75,0.2598106652365538,0.25252525252525254,0.005046863734679163,0.011111111111111112,0.0020768431983385254,0.0,0.5,0.0,0.0,0.004132231404958678,0.07692307692307693,0.0,0.0,0.16666666666666669,0.36363636363636365,0.7142857142857142,0.5,0.003572846367606193,0.08823529411764705,0.0030668504479669195,0.0,0.0
4507,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0.5,0.6288618928812973,0.8787878787878789,0.4542177361211247,0.15555555555555556,0.5077881619937694,0.0,0.0,0.125,0.07329842931937174,0.23140495867768596,0.07692307692307693,0.2222222222222222,0.6363636363636364,0.5833333333333333,0.1818181818181818,0.857142857142857,0.0,0.49384676458912263,0.6176470588235294,0.054269782595075505,0.0,0.0
3749,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0.5,0.6453587334157251,0.5454545454545455,0.4513338139870223,0.5055555555555555,0.6178608515057112,0.0,0.0,0.6625,0.47643979057591623,0.06198347107438017,0.07692307692307693,0.2222222222222222,0.4545454545454546,0.9166666666666666,0.1818181818181818,0.42857142857142855,0.25,0.6248511314013497,0.676470588235294,0.06296806799908108,0.0,0.0
4198,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0.5,0.2154110414189242,0.06060606060606061,0.005767844268204758,0.005555555555555556,0.0010384215991692627,0.5,0.5,0.0,0.020942408376963352,0.03305785123966942,0.07692307692307693,0.0,0.0,0.16666666666666669,0.4545454545454545,0.5918367346938775,0.75,0.0075426756649464065,0.08823529411764705,0.005478980013783598,0.0,0.0
8372,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5,0.2615497314648592,0.8181818181818182,0.0014419610670511895,0.016666666666666666,0.005192107995846314,0.5,0.0,0.025,0.010471204188481676,0.0371900826446281,0.07692307692307693,0.037037037037037035,0.0,0.08333333333333333,0.5454545454545454,0.4081632653061224,0.5,0.009527590313616514,0.08823529411764705,0.0066850447966919375,0.0,0.0
